"Date","Price","Open","High","Low","Change %"
"Feb 11, 2019","103.272","103.321","103.437","102.847","-0.09%"
"Feb 10, 2019","103.361","103.361","103.361","103.361","0.00%"
"Feb 08, 2019","103.361","103.358","103.751","103.280","0.10%"
"Feb 07, 2019","103.260","103.488","104.038","102.792","-0.11%"
"Feb 06, 2019","103.377","103.252","103.700","103.155","0.14%"
"Feb 05, 2019","103.236","103.300","103.817","102.966","0.08%"
"Feb 04, 2019","103.156","102.671","103.309","101.962","0.46%"
"Feb 03, 2019","102.687","102.636","102.737","102.636","0.07%"
"Feb 01, 2019","102.617","102.040","102.709","101.538","0.51%"
"Jan 31, 2019","102.092","101.563","102.325","101.548","0.82%"
"Jan 30, 2019","101.258","101.599","101.678","101.082","-0.36%"
"Jan 29, 2019","101.625","101.089","101.663","100.930","0.49%"
"Jan 28, 2019","101.131","101.845","102.063","101.007","-0.72%"
"Jan 27, 2019","101.861","101.792","101.861","101.792","0.08%"
"Jan 25, 2019","101.782","101.457","101.956","100.998","0.17%"
"Jan 24, 2019","101.613","102.118","102.756","101.558","-0.38%"
"Jan 23, 2019","102.003","101.364","102.161","100.833","0.46%"
"Jan 22, 2019","101.536","101.183","101.917","101.183","0.37%"
"Jan 21, 2019","101.166","101.170","101.191","101.166","-0.00%"
"Jan 20, 2019","101.170","101.170","101.170","101.170","0.00%"
"Jan 18, 2019","101.170","99.897","101.247","99.318","1.32%"
"Jan 17, 2019","99.855","99.900","100.209","99.728","0.16%"
"Jan 16, 2019","99.692","99.575","99.917","99.059","0.07%"
"Jan 15, 2019","99.627","100.056","100.383","99.475","-0.41%"
"Jan 14, 2019","100.033","100.190","100.486","99.751","-0.01%"
"Jan 13, 2019","100.048","100.048","100.048","100.048","0.00%"
"Jan 11, 2019","100.048","100.458","100.995","99.947","-0.40%"
"Jan 10, 2019","100.453","101.280","101.620","100.187","-0.59%"
"Jan 09, 2019","101.052","99.556","101.443","99.089","1.25%"
"Jan 08, 2019","99.801","99.720","99.859","99.514","-0.08%"
"Jan 07, 2019","99.884","99.474","100.203","99.433","0.43%"
"Jan 06, 2019","99.456","99.457","99.457","99.408","-0.16%"
"Jan 04, 2019","99.613","100.408","100.671","99.056","-0.89%"
"Jan 03, 2019","100.503","100.143","100.955","100.143","0.36%"
"Jan 02, 2019","100.142","99.883","100.557","99.787","0.30%"
"Jan 01, 2019","99.838","99.838","99.838","99.838","0.00%"
"Dec 31, 2018","99.838","99.492","100.094","99.336","0.37%"
"Dec 30, 2018","99.467","99.467","99.467","99.467","0.00%"
"Dec 28, 2018","99.467","99.185","99.887","98.991","-0.10%"
"Dec 27, 2018","99.568","100.082","100.956","98.825","-0.63%"
"Dec 26, 2018","100.198","100.896","101.397","99.906","-0.63%"
"Dec 25, 2018","100.830","100.964","100.964","100.761","-0.13%"
"Dec 24, 2018","100.964","100.672","101.142","100.336","0.41%"
"Dec 23, 2018","100.547","100.547","100.547","100.547","0.00%"
"Dec 21, 2018","100.547","99.717","100.602","99.635","0.36%"
"Dec 20, 2018","100.182","101.929","102.484","99.554","-1.42%"
"Dec 19, 2018","101.628","100.620","102.092","100.421","1.23%"
"Dec 18, 2018","100.394","100.136","100.677","99.909","0.28%"
"Dec 17, 2018","100.116","99.590","100.198","99.527","0.51%"
